ticker,signal_date,entry_date,entry,stop,target,planned_rr,entry_reason,exit_idx,exit_date,exit_reason,exit_price,r_achieved
D05.SI,2024-04-23 00:00:00+08:00,2024-04-24 00:00:00+08:00,30.20225642372644,29.296188731014645,32.01439180915003,2.0,Breakout,210,2024-06-24 00:00:00+08:00,Timeout,31.32341194152832,1.23738604391284
U11.SI,2024-04-24 00:00:00+08:00,2024-04-25 00:00:00+08:00,26.73707277047322,25.934960587359022,28.341297136701613,2.0,Breakout,179,2024-05-08 00:00:00+08:00,Stop,25.934960587359022,-1.0
O39.SI,2024-04-26 00:00:00+08:00,2024-04-29 00:00:00+08:00,12.331137147701465,11.96120303327042,13.071005376563555,2.0,Breakout,213,2024-06-27 00:00:00+08:00,Timeout,12.719945907592773,1.0510216406759143
U96.SI,2024-04-29 00:00:00+08:00,2024-04-30 00:00:00+08:00,4.868733882904053,4.722671866416931,5.253578387312832,2.634802076984272,Pullback,179,2024-05-08 00:00:00+08:00,Stop,4.722671866416931,-1.0
S63.SI,2024-04-29 00:00:00+08:00,2024-04-30 00:00:00+08:00,3.7866736865860764,3.673073475988494,4.013874107781241,2.0,Breakout,176,2024-05-03 00:00:00+08:00,Stop,3.673073475988494,-1.0
C09.SI,2024-05-02 00:00:00+08:00,2024-05-03 00:00:00+08:00,5.642396450042725,5.473124556541443,5.980940237045289,2.0,Pullback,184,2024-05-15 00:00:00+08:00,Stop,5.473124556541443,-1.0
H78.SI,2024-05-02 00:00:00+08:00,2024-05-03 00:00:00+08:00,2.947489673644922,2.8590649834355744,3.1243390540636176,2.0,Breakout,183,2024-05-14 00:00:00+08:00,Target,3.1243390540636176,2.0
V03.SI,2024-05-03 00:00:00+08:00,2024-05-06 00:00:00+08:00,12.721219124915526,12.33958255116806,13.484492272410458,2.0,Breakout,178,2024-05-07 00:00:00+08:00,Stop,12.33958255116806,-1.0
C38U.SI,2024-05-03 00:00:00+08:00,2024-05-06 00:00:00+08:00,1.6989319324493408,1.6479639744758605,1.8008678483963014,2.0,Trend-continuation,217,2024-07-03 00:00:00+08:00,Timeout,1.7341430187225342,0.6908474985698745
C6L.SI,2024-05-07 00:00:00+08:00,2024-05-08 00:00:00+08:00,5.878259658813477,5.701911869049072,6.484537776650153,3.4379683388527007,Pullback,219,2024-07-05 00:00:00+08:00,Timeout,6.1330718994140625,1.4449415041776663
